,filename,A,C,D,G,H,I,J,K,N,O,P,S,U,V,X,Y,Z,tekstikood,keeletase
15,doc_767882159235_item.txt,4.966887417218543,0.3311258278145696,5.298013245033113,0.0,2.3178807947019866,0.0,1.3245033112582782,0.6622516556291391,1.3245033112582782,1.6556291390728477,3.3112582781456954,19.86754966887417,0.3311258278145696,6.622516556291392,0.0,0.0,2.6490066225165565,doc_767882159235_item.txt,B1
47,doc_278690626920_item.txt,4.5662100456621,0.0,3.6529680365296797,0.0,2.28310502283105,0.0,1.8264840182648399,0.45662100456620996,1.8264840182648399,0.9132420091324199,3.1963470319634704,19.17808219178082,0.0,8.67579908675799,0.0,0.0,2.7397260273972597,doc_278690626920_item.txt,B1
66,doc_25147052931_item.txt,3.571428571428571,0.8928571428571428,8.928571428571429,0.0,3.571428571428571,0.0,1.7857142857142856,0.0,0.0,0.0,0.8928571428571428,12.5,0.0,18.75,0.0,0.0,1.7857142857142856,doc_25147052931_item.txt,B1
76,doc_284706151144_item.txt,2.8571428571428568,0.0,11.428571428571427,0.0,2.8571428571428568,0.0,2.8571428571428568,2.8571428571428568,2.8571428571428568,0.0,5.7142857142857135,27.142857142857146,0.0,11.428571428571427,0.0,0.0,2.8571428571428568,doc_284706151144_item.txt,A2
84,doc_25147052930_item.txt,3.723404255319149,0.5319148936170213,5.851063829787233,0.0,3.723404255319149,0.0,2.127659574468085,0.5319148936170213,1.0638297872340423,0.0,3.191489361702128,23.936170212765962,0.0,8.51063829787234,0.0,0.5319148936170213,1.0638297872340423,doc_25147052930_item.txt,A2
85,doc_540371162204_item.txt,2.0066889632107023,0.33444816053511706,4.6822742474916375,0.0,2.3411371237458187,0.6688963210702341,0.6688963210702341,0.6688963210702341,1.6722408026755853,0.6688963210702341,2.6755852842809364,14.046822742474914,0.0,7.023411371237457,0.0,0.33444816053511706,2.6755852842809364,doc_540371162204_item.txt,B1
90,doc_532115409106_item.txt,5.447470817120624,0.0,7.782101167315174,1.9455252918287935,3.1128404669260696,0.0,2.723735408560312,0.7782101167315175,0.3891050583657588,0.0,4.280155642023346,14.785992217898832,0.0,9.727626459143972,0.0,0.3891050583657588,1.1673151750972763,doc_532115409106_item.txt,B2
91,doc_213943985051_item.txt,0.9708737864077668,0.0,11.650485436893206,0.9708737864077668,0.9708737864077668,0.0,4.854368932038835,0.0,0.0,0.0,4.854368932038835,11.650485436893206,0.0,18.446601941747574,0.0,0.0,2.9126213592233015,doc_213943985051_item.txt,B1
93,doc_540371162205_item.txt,2.5396825396825395,0.0,5.7142857142857135,0.0,2.5396825396825395,0.0,1.2698412698412698,0.9523809523809524,1.5873015873015872,0.31746031746031744,2.5396825396825395,12.063492063492065,0.0,6.666666666666668,0.0,0.31746031746031744,2.8571428571428568,doc_540371162205_item.txt,B1
95,doc_22196735915_item.txt,1.345291479820628,0.0,7.174887892376683,0.4484304932735426,4.035874439461884,0.0,1.345291479820628,0.0,5.829596412556054,0.8968609865470852,3.5874439461883414,20.62780269058296,0.0,8.071748878923767,0.0,1.345291479820628,2.242152466367713,doc_22196735915_item.txt,A2
